"rt","response","question_order","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","stimulus","left","right","concept"
"2986","{""Q0"":[""<strong>I consent</strong>""]}","[0]","survey-multi-select","0","2988","0.0-0.0","zf4ufbt1gr","","","","","","","","",""
"","","","preload","1","3938","0.0-1.0","zf4ufbt1gr","true","false","[]","[]","[]","","","",""
"","","","fullscreen","2","5761","0.0-2.0","zf4ufbt1gr","true","","","","","","","",""
"988"," ","","html-keyboard-response","3","6756","0.0-3.0","zf4ufbt1gr","","","","","","
    <p>Instructions Here! Do the thing! Thanks! Now press the spacebar.</p>
  ","","",""
"1388","arrowleft","","html-keyboard-response","4","8145","0.0-4.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/paper_felt.png"" style=""height:350px"">","paper","felt","banana"
"416","arrowleft","","html-keyboard-response","5","8770","0.0-5.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/felt_sand.png"" style=""height:350px"">","felt","sand","banana"
"658","arrowleft","","html-keyboard-response","6","9632","0.0-6.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/sand_rubber.png"" style=""height:350px"">","sand","rubber","banana"
"247","arrowleft","","html-keyboard-response","7","10084","0.0-7.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">raspberries</p><img src=""img/felt_sand.png"" style=""height:350px"">","felt","sand","raspberries"
"240","arrowleft","","html-keyboard-response","8","10529","0.0-8.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/rubber_paper.png"" style=""height:350px"">","rubber","paper","banana"
"190","arrowleft","","html-keyboard-response","9","10923","0.0-9.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/rubber_sand.png"" style=""height:350px"">","rubber","sand","banana"
"186","arrowleft","","html-keyboard-response","10","11315","0.0-10.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/sand_felt.png"" style=""height:350px"">","sand","felt","banana"
"175","arrowleft","","html-keyboard-response","11","11695","0.0-11.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/paper_rubber.png"" style=""height:350px"">","paper","rubber","banana"
"184","arrowleft","","html-keyboard-response","12","12086","0.0-12.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">raspberries</p><img src=""img/paper_felt.png"" style=""height:350px"">","paper","felt","raspberries"
"217","arrowleft","","html-keyboard-response","13","12505","0.0-13.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/sand_paper.png"" style=""height:350px"">","sand","paper","banana"
"170","arrowleft","","html-keyboard-response","14","12882","0.0-14.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">raspberries</p><img src=""img/rubber_paper.png"" style=""height:350px"">","rubber","paper","raspberries"
"225","arrowleft","","html-keyboard-response","15","13314","0.0-15.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">raspberries</p><img src=""img/rubber_felt.png"" style=""height:350px"">","rubber","felt","raspberries"
"219","arrowleft","","html-keyboard-response","16","13735","0.0-16.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/rubber_felt.png"" style=""height:350px"">","rubber","felt","banana"
"196","arrowleft","","html-keyboard-response","17","14134","0.0-17.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/felt_rubber.png"" style=""height:350px"">","felt","rubber","banana"
"257","arrowleft","","html-keyboard-response","18","14594","0.0-18.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">raspberries</p><img src=""img/felt_rubber.png"" style=""height:350px"">","felt","rubber","raspberries"
"188","arrowleft","","html-keyboard-response","19","14989","0.0-19.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">raspberries</p><img src=""img/felt_paper.png"" style=""height:350px"">","felt","paper","raspberries"
"183","arrowleft","","html-keyboard-response","20","15377","0.0-20.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">banana</p><img src=""img/paper_sand.png"" style=""height:350px"">","paper","sand","banana"
"198","arrowleft","","html-keyboard-response","21","15783","0.0-21.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">raspberries</p><img src=""img/sand_rubber.png"" style=""height:350px"">","sand","rubber","raspberries"
"159","arrowleft","","html-keyboard-response","22","16148","0.0-22.0","zf4ufbt1gr","","","","","","<p style=""font-size:50px"">raspberries</p><img src=""img/paper_rubber.png"" style=""height:350px"">","paper","rubber","raspberries"
